,Title,Date,Summary,Rating,Metascore
140,On the Rocks,"Oct 2, 2020","Laura (Rashida Jones) thinks she’s happily hitched, but when her husband Dean (Marlon Wayans) starts logging late hours at the office with a new co-worker, Laura begins to fear the worst.  She turns to the one man she suspects may have insight: her charming, impulsive father Felix (Bill Murray), who insists they investigate the situation. As the two begin prowling New York at night, careening from uptown parties to downtown hotspots, they discover at the heart of their journey lies their own relationship.",R,73
141,Miss Juneteenth,"Jun 19, 2020","A former beauty queen turned hard working single mom prepares her rebellious teenage daughter for the Miss Juneteenth pageant, hoping to keep her from repeating the same mistakes in life that she made.",Unrated,73
142,The Fight,"Jul 31, 2020","At this defining moment in American history, The Fight follows a scrappy team of heroic ACLU lawyers in an electrifying battle over abortion rights, immigrant rights, LGBTQ rights and voting rights.",PG-13,73
143,Robin's Wish,"Sep 1, 2020","Robin’s Wish tells the powerful true story of actor/comedian Robin Williams’ final days. For the first time, Robin’s fight against a deadly neurodegenerative disorder, known as Lewy Body Dementia, is shown in stunning detail. Through a journalistic lens, this story sheds an entirely new light on the tragedy, beauty and power behind the mind of one of the greatest entertainers of all time.",Not Rated,73
144,This Is Not a Movie,"Oct 16, 2020","Yung Chang’s This Is Not a Movie captures Fisk in action—feet on the ground, notebook in hand, as he travels into landscapes devastated by war, ferreting out the facts and firing reports back home to reach an audience of millions.  The process of translating raw experience into incisive and passionate dispatches requires the determination to see things first-hand and the tenacity to say what others won’t. In his relentless pursuit of the facts, Fisk has attracted his share of controversy. But in spite of the danger, he has continued to cover stories as they unfold, talking directly to the people involved.  In an era of fake news, when journalists are dubbed “the enemies of the people,” Fisk’s resolve to document reality has become an obsessive war to speak the truth. [KimStim]",Not Rated,73
145,Mystify: Michael Hutchence,"Jan 7, 2020","Deftly woven from an extraordinary archive of rich imagery, Michael’s private home movies and those of his lovers, friends, and family, the film delves beneath the public persona of the charismatic ‘Rock God’ and transports us through the looking glass to reveal a multifaceted, intensely sensitive and complex man. For an all too brief time, we revel in Michael’s Dionysian beauty and sensuality on stage and off. We listen to the range of his extraordinary voice and witness the charmed way he travels through life as he is propelled to world acclaim. But Michael struggled with the idea of success, the creative limits of pop stardom and how to express his integrity; a longing that shaped his life and music and gave birth to a desire to go far beyond the constraints of pop. A violent event strikes Michael and changes his life forever, fracturing his sense of self and robbing him of his connection to life. Made vulnerable, he is unable to navigate the complex challenges he faces moving forward and he has little defence against the onslaught of tabloid press that descends upon his world. Amidst the encroaching darkness, Michael’s new-born daughter, Tiger, becomes his one bright light.",Not Rated,73
146,Hill of Freedom,"Jun 12, 2020","Kwon (Seo Young-hwa) returns to Seoul from a restorative stay in the mountains. She is given a packet of letters left by Mori (Ryo Kase, Like Someone In Love), who has come back from Japan to propose to her. As she walks down a flight of stairs, Kwon drops and scatters the letters, all of which are undated. When she reads them, she has to make sense of the chronology… and so must we. ",Not Rated,73
147,Spaceship Earth,"May 8, 2020","Spaceship Earth is the true, stranger-than-fiction, adventure of eight visionaries who in 1991 spent two years quarantined inside of a self-engineered replica of Earth’s ecosystem called BIOSPHERE 2. The experiment was a worldwide phenomenon, chronicling daily existence in the face of life threatening ecological disaster and a growing criticism that it was nothing more than a cult. The bizarre story is both a cautionary tale and a hopeful lesson of how a small group of dreamers can potentially reimagine anew world. [Neon]",Not Rated,73
148,Coming Home Again,"Oct 23, 2020",A Korean American man takes care of his sick mother as she teaches him her traditional recipes.,Not Rated,73
149,Host,"Jul 30, 2020","Six friends get together during lockdown for their weekly zoom call. It's Haley’s turn to organize an activity and instead of a quiz, she’s arranged for a Medium to conduct a séance. Bored and feeling mischievous, Jemma decides to have some fun and invents a story about a boy in her school who hanged himself. However, her prank gives license for a demonic presence to cross over, taking on the guise of the boy in Jemma’s made-up story. The friends begin noticing strange occurrences in their homes as the evil presence begins to make itself known, and they soon realize that they might not survive the night.",Not Rated,73
150,The Platform,"Mar 20, 2020","In a future dystopia, prisoners housed in vertically stacked cells watch hungrily as food descends from above — feeding the upper tiers, but leaving those below ravenous and radicalized.",TV-MA,73
151,Slay the Dragon,"Apr 3, 2020","After the 2008 election, a secretive, well-funded partisan initiative poured money into state legislative races in key swing states to gain control of their redistricting processes and used high-tech analytics to dramatically skew voting maps based on demographic data. The result is one of the greatest electoral manipulations in U.S. history, one that poses a fundamental threat to our democracy and exacerbates the already polarized atmosphere in Congress and state houses across the country. Gerrymandering, the practice of redrawing electoral maps to serve the party in power, has been around for centuries. But in today’s hyperpartisan political environment it has been taken to unprecedented extremes, fueled by the elimination of corporate campaign contribution limits and the availability of vast amounts of personal information. The effects of this insidious strategy have continued to bear fruit through the 2018 midterms. But voters, fed up with cynical efforts to sidestep the will of the majority, have begun fighting back. In one example, a grassroots movement led by a young woman with no political experience gathered hundreds of thousands of signatures to put an anti-gerrymandering initiative on the ballot in Michigan. The new documentary Slay the Dragon shines a light on this timely issue, and follows a handful of citizens’ groups, outraged by what they see as an attack on the core democratic principle that every person’s vote should count equally, as they battle party operatives and an entrenched political establishment to fix a broken system.",PG-13,73
152,News of the World,"Dec 25, 2020","Five years after the end of the Civil War, Captain Jefferson Kyle Kidd (Tom Hanks), a veteran of three wars, now moves from town to town as a non-fiction storyteller, sharing the news of presidents and queens, glorious feuds, devastating catastrophes, and gripping adventures from the far reaches of the globe.  In the plains of Texas, he crosses paths with Johanna (Helena Zengel), a 10-year-old taken in by the Kiowa people six years earlier and raised as one of their own. Johanna, hostile to a world she’s never experienced, is being returned to her biological aunt and uncle against her will.  Kidd agrees to deliver the child where the law says she belongs. As they travel hundreds of miles into the unforgiving wilderness, the two will face tremendous challenges of both human and natural forces as they search for a place that either can call home.",PG-13,73
153,Fire Will Come,"Oct 30, 2020","Amador Coro has been condemned for having provoked a fire. When he gets out of prison, nobody is waiting for him. He returns to his home town, a small village hidden in the mountains of rural Galicia, to live with his mother, Benedicta, and their three cows. Life goes by, following the rhythm of nature. Until one night when a fire starts to devastate the region.",Not Rated,73
154,Bruce Springsteen's Letter to You,"Oct 23, 2020","Go behind the music as Bruce Springsteen and The E Street Band record together live for the first time since Born In The U.S.A. in this intimate documentary that captures reflections on love, loss, and the way music has shaped Bruce Springsteen’s life.",TV-PG,73
155,Coded Bias,"Nov 11, 2020",An exploration of the fallout of MIT Media Lab researcher Joy Buolamwini's startling discovery of racial bias in facial recognition algorithms.,TV-MA,73
156,Jimmy Carter: Rock & Roll President,"Sep 9, 2020","If it hadn’t been for a bottle of scotch and a late-night visit from musician Gregg Allman, Jimmy Carter might never have been elected the 39th President of the United States. The documentary charts the mostly forgotten story of how Carter, a lover of all types of music, forged a tight bond with musicians Willie Nelson, the Allman Brothers, Bob Dylan and others. Low on campaign funds and lacking in name recognition, Carter relied on support from these artists to give him a crucial boost in the Democratic primaries. Once Carter was elected, the musicians became frequent guests in the White House. The surprisingly significant role that music played throughout Carter’s life and in his work becomes a thread in this engaging portrait of one of the most enigmatic Presidents in American history.",Not Rated,73
157,Ammonite,"Nov 13, 2020","1840s England, acclaimed but overlooked fossil hunter Mary Anning and a young woman sent to convalesce by the sea develop an intense relationship, altering both of their lives forever.",R,72
158,Shithouse,"Oct 16, 2020","Lonely college freshman Alex (Cooper Raiff) has closed himself off from his peers, who all appear to have this whole “college thing” figured out. But everything changes one night when Alex takes a leap and attends a party at Shithouse – a legendary party fraternity – where he forges a strong connection with Maggie (Dylan Gelula). The next day, she ignores him completely and seems to have forgotten about their amazing night. Desperately clinging to his social breakthrough, Alex pulls out all the stops with one more night at Shithouse, hoping to rekindle that moment of connection. ",R,72
159,Promising Young Woman,"Dec 25, 2020","Everyone said Cassie (Carey Mulligan) was a promising young woman... until a mysterious event abruptly derailed her future.  But nothing in Cassie’s life is what it appears to be: she’s wickedly smart, tantalizingly cunning, and she’s living a secret double life by night.  Now, an unexpected encounter is about to give Cassie a chance to right the wrongs of the past.",R,72
160,Belushi,"Nov 22, 2020","Using previously unheard audiotapes recorded shortly after John Belushi's death, director R.J. Cutler's documentary examines the too-short life of once-in-a-generation talent who captured the hearts and funny bones of devoted audiences.",TV-MA,72
161,Blow the Man Down,"Mar 20, 2020","Welcome to Easter Cove, a salty fishing village on the far reaches of Maine’s rocky coast. Grieving the loss of their mother and facing an uncertain future, Mary Beth & Priscilla Connolly cover up a gruesome run-in with a dangerous man. To conceal their crime, the sisters must go deeper into Easter Cove’s underbelly and uncover the town matriarchs' darkest secrets.",R,72
162,His House,"Oct 30, 2020","After making a harrowing escape from war-torn South Sudan, a young refugee couple struggle to adjust to their new life in a small English town that has an unspeakable evil lurking beneath the surface.",TV-14,72
163,Let Them All Talk,"Dec 10, 2020",A celebrated author (Meryl Streep) takes a journey with some old friends to have some fun and heal old wounds. Her nephew comes along to wrangle the ladies and finds himself involved with a young literary agent.,R,72
164,Weathering with You,"Jan 15, 2020","The summer of his high school freshman year, Hokoda runs away from his remote island home to Tokyo, and quickly finds himself pushed to his financial and personal limits. The weather is unusually gloomy and rainy every day, as if to suggest his future. He lives his days in isolation, but finally finds work as a writer for a mysterious occult magazine. Then one day, Hokoda meets Hina on a busy street corner. This bright and strong-willed girl possesses a strange and wonderful ability: the power to stop the rain and clear the sky. [GKIDS]",TV-PG,72
165,Extra Ordinary,"Mar 6, 2020","Rose, a sweet, lonely driving instructor in rural Ireland, is gifted with supernatural abilities. Rose has a love/hate relationship with her ‘talents’ & tries to ignore the constant spirit related requests from locals – to exorcise possessed rubbish bins or haunted gravel. But! Christian Winter, a washed up, one-hit-wonder rock star, has made a pact with the devil for a return to greatness! He puts a spell on a local teenager- making her levitate. Her terrified father, Martin Martin, asks Rose to help save his daughter. Rose has to overcome the fear of her supernatural gift & work with Martin to save the girl, get the guy and be home in time for a light snack…maybe a yogurt or something.",R,72
166,Fireball: Visitors from Darker Worlds,"Nov 13, 2020",Fireball: Visitors From Darker Worlds explores how meteorites have impacted our planet’s landscapes and cultures.,TV-PG,72
167,Goldie,"Feb 21, 2020","Goldie is a star – well, not quite yet, but at least in the eyes of her little sisters Sherrie and Supreme she is. The rest of the world is bound to take note soon too. Her big break surely awaits, she’s just got to pick up that golden fur coat she’s had her eye on first. And land a role as a dancer in a hip-hop video. And keep child welfare services from separating her from Sherrie and Supreme, after their mother is locked up. Holding onto those dreams isn’t easy when fate has placed such daunting obstacles in her path. ",TV-MA,72
168,The Painted Bird,"Jul 17, 2020","Based on the acclaimed Jerzy Kosiriski novel, The Painted Bird is a meticulous 35mm black and white evocation of wild, primitive Eastern Europe at the bloody close of World War I. The film follows the journey of The Boy, entrusted by his persecuted parents to an elderly foster mother. The old woman soon dies and the Boy is on his own, wandering through the countryside, from village to village, farmhouse to farmhouse. As he struggles for survival, The Boy suffers through extraordinary brutality meted out by the ignorant, superstitious peasants and he witnesses the terrifying violence of the efficient, ruthless soldiers, both Russian and German. In a defining scene, one of the peasants shows The Boy the flight of a captive bird, whom the man has painted and then released back into its own flock. The bird is immediately ripped apart because it is different from its fellows. That lesson reinforces all The Boy already knows and will soon know better: difference is fatal. But there are rare moments of compassion: a German soldier spares The Boy, a priest intervenes on his behalf, and finally The Boy becomes the protégé of a Russian sniper, who is kind to the child, but ruthless with the enemy. And there are signs of love. The Boy is seduced by an older girl, finally re-discovering the comfort of intimacy, only to realize that he has been used. When he is miraculously reunited with his weakened father at the end of the war, The Boy is cold and impenetrable, hardened by his ordeal. Yet we can still glimpse something of the old, sensitive Boy behind the eyes of the new. Perhaps there is hope. [IFC Films]",Unrated,72
169,Possessor Uncut,"Oct 2, 2020","Possessor is a sci-fi thriller about elite, corporate assassin Tasya Vos (Andrea Riseborough). Using brain-implant technology, Vos takes control of other people’s bodies to execute high profile targets. As she sinks deeper into her latest assignment Vos becomes trapped inside a mind that threatens to obliterate her. ",R,72
170,Alice,"May 15, 2020","After discovering that her husband's addiction to escorts has left their family penniless, Alice finds herself drawn into the world of high-end prostitution as a means of caring for herself and her child.",Not Rated,72
171,The Dark and the Wicked,"Nov 6, 2020","On a secluded farm, a man is slowly dying. Bedridden and fighting through his final breaths, his wife is slowly succumbing to overwhelming grief. To help their mother and say goodbye to their father, siblings Louise (Marin Ireland) and Michael (Michael Abbott Jr.) return to their family farm. It doesn’t take long for them to see that something’s wrong with mom, though—something more than her heavy sorrow. Gradually, as their own grief mounts, Louise and Michael begin suffering from a darkness similar to their mother’s, marked by waking nightmares and a growing sense that something evil is taking over their family.",Not Rated,72
172,VFW,"Feb 14, 2020","A typical night for a group of war veterans at the local VFW turns into an all-out battle for survival when a teenage girl runs into the bar with a bag of stolen drugs. Suddenly under attack from a gang of punk mutants looking to get back what’s theirs – at any cost – the vets use every weapon they can put together to protect the girl, and their VFW, in the biggest fight of their lives.",Not Rated,72
173,The Invisible Man,"Feb 28, 2020","Trapped in a violent, controlling relationship with a wealthy and brilliant scientist, Cecilia Kass (Elisabeth Moss) escapes in the dead of night and disappears into hiding, aided by her sister (Harriet Dyer), their childhood friend (Aldis Hodge) and his teenage daughter (Storm Reid). But when Cecilia's abusive ex (Oliver Jackson-Cohen) commits suicide and leaves her a generous portion of his vast fortune, Cecilia suspects his death was a hoax. As a series of eerie coincidences turns lethal, threatening the lives of those she loves, Cecilia's sanity begins to unravel as she desperately tries to prove that she is being hunted by someone nobody can see.",R,72
174,Hearts and Bones,"Nov 20, 2020","War photographer Daniel Fisher (Hugo Weaving) has returned home to the news of his wife’s pregnancy. Determined not to let fatherhood alter his way of life, he begins preparations for an upcoming exhibition and his next overseas assignment. However, as the birth of his child draws near he struggles to keep his rising anxiety hidden.  Meanwhile, South Sudanese refugee Sebastian Aman (Andrew Luri) has created a safe life in Australia with his wife and child. His peaceful life is disturbed when Daniel’s exhibition threatens to display photographs of a massacre that occurred in Sebastian’s home village 15 years earlier. When Sebastian approaches Daniel with an appeal to not display any images of the massacre, an unlikely friendship develops between the two men that challenges Daniel’s creative control and unearths disturbing details surrounding Sebastian’s past.",Not Rated,71
175,Proxima,"Nov 6, 2020",An astronaut prepares for a one-year mission aboard the International Space Station.,Not Rated,71
176,The Outpost,"Jul 2, 2020",A small team of U.S. soldiers battle against hundreds of Taliban fighters in Afghanistan.,R,71
177,The Booksellers,"Mar 6, 2020","Antiquarian booksellers are part scholar, part detective and part businessperson, and their personalities and knowledge are as broad as the material they handle. They also play an underappreciated yet essential role in preserving history. The Booksellers takes viewers inside their small but fascinating world, populated by an assortment of obsessives, intellects, eccentrics and dreamers.",Not Rated,71
178,Emma.,"Feb 21, 2020","Handsome, clever, and rich, Emma Woodhouse is a restless queen bee without rivals in her sleepy little town. In this glittering satire of social class and the pain of growing up, Emma must adventure through misguided matches and romantic missteps to find the love that has been there all along. ",PG,71
179,Eternal Beauty,"Oct 2, 2020","When Jane (Sally Hawkins) is dumped at the altar she has a breakdown and spirals into a chaotic world, where love (both real and imagined) and family relationships collide with both touching and humorous consequences.",R,71
180,Billie,"Dec 4, 2020","Billie Holiday had one of the greatest voices of all time and changed the face of American music.  She was a woman of breath-taking talent and global popularity while also stirring controversy.  She started a notable rebellion singing “Strange Fruit” which exposed the realities of Black life in America and earned her powerful enemies.  Raw, emotional and brutally honest, Billie is filled with never-before-heard interviews from musical greats like Charles Mingus, Tony Bennett, Sylvia Syms and Count Basie.",Not Rated,71
181,Come As You Are,"Feb 14, 2020","Three young men with disabilities (Grant Rosenmeyer, Hayden Szeto, and Ravi Patel) flee their overbearing parents on a road trip to a brothel in Montreal catering to people with special needs. Sam (Gabourey Sidibe), a traveling nurse, drives the three guys across the border as they go on this trip to lose their virginity and embrace their independence.",Not Rated,71
182,The Woman Who Loves Giraffes,"Jan 10, 2020","In 1956, four years before Jane Goodall ventured into the world of chimpanzees and seven years before Dian Fossey left to work with mountain gorillas, 23-year-old biologist Anne Innis Dagg made an unprecedented solo journey to South Africa to study giraffes in the wild.  In The Woman Who Loves Giraffes, Anne (now 86) retraces her steps, and with letters and stunning, original 16mm film footage offers an intimate window into her life as a young woman, juxtaposed with a first hand look at the devastating reality that giraffes are facing today. Both the world’s first ‘giraffologist’, whose research findings ultimately became the foundation for many scientists following in her footsteps, and the species she loves have each experienced triumphs as well as setbacks.",Not Rated,71
183,"Yes, God, Yes","Jul 24, 2020","After an innocent AOL chat turns racy, a Catholic teenager (Natalia Dyer) in the early 00s discovers masturbating and struggles to suppress her new urges in the face of eternal damnation.",R,71
184,Lucky Grandma,"May 22, 2020","In the heart of Chinatown, New York, an ornery, chain-smoking, newly widowed 80-year-old Grandma (Tsai Chin) is eager to live life as an independent woman, despite the worry of her family. When a local fortune teller (Wai Ching Ho) predicts a most auspicious day in her future, Grandma decides to head to the casino and goes all in, only to land herself on the wrong side of luck...suddenly attracting the attention of some local gangsters. Desperate to protect herself, Grandma employs the services of a bodyguard from a rival gang (Corey Ha) and soon finds herself right in the middle of a Chinatown gang war.",Not Rated,71
185,Ordinary Love,"Feb 14, 2020","Joan and Tom (Lesley Manville and Liam Neeson) have been married for many years. An everyday couple with a remarkable love, there is an ease to their relationship which only comes from spending a lifetime together. When Joan is diagnosed with breast cancer, the course of her treatment shines a light on their enduring devotion, as they must find the humor and grace to survive a year of adversity. 
",R,70
186,My Hero Academia: Heroes Rising,"Feb 26, 2020","A group of youths aspiring to become professional superheroes, fight in a world full of people with abilities, also known as quirks. Deku and his fellow classmates from Hero Academy face Nine, the strongest villain yet.",PG-13,70
187,Capital in the Twenty-First Century,"May 1, 2020","Based on the international bestseller by economist Thomas Piketty, this documentary is an eye-opening journey through wealth and power, a film that breaks the popular assumption that the accumulation of capital runs hand in hand with social progress, and shines a new light on today’s growing inequalities. Traveling through time, the film assembles accessible pop-culture references coupled with interviews of some of the world’s most influential experts delivering an insightful and empowering journey through the past and into our future. [Kino Lorber]",Not Rated,70
188,Herself,"Dec 30, 2020","Single mother Sandra (Clare Dunne) escapes her abusive partner with her two young children, only to find herself trapped in temporary accommodation. After months of struggling, she draws inspiration from one of her daughter’s bedtime stories and hits upon the idea of self-building an affordable home. She finds an architect who provides her with plans and is offered land by Peggy (Harriet Walter), a woman she cleans for. Aido (Conleth Hill), a building contractor, appears willing to help, too. But as her past rears its head in the form of Gary (Ian Lloyd Anderson), her possessive ex, and as bureaucrats fight back against her independent spirit, will Sandra be able to rebuild her life from the ground up? [Amazon Studios]",R,70
189,John Lewis: Good Trouble,"Jul 3, 2020","Using interviews and rare archival footage, John Lewis: Good Trouble chronicles Lewis’ 60-plus years of social activism and legislative action on civil rights, voting rights, gun control, health-care reform and immigration. Using present-day interviews with Lewis, now 79 years old, Porter explores his childhood experiences, his inspiring family and his fateful meeting with Dr. Martin Luther King Jr. in 1957. In addition to her interviews with Lewis and his family, Porter’s primarily cinéma verité film also includes interviews with political leaders, Congressional colleagues, and other people who figure prominently in his life.",PG,70
190,Rebuilding Paradise,"Jul 31, 2020","On the morning of Nov. 8, 2018, a devastating firestorm engulfed the picturesque city of Paradise, California. By the time the Camp Fire was extinguished, it had killed 85 people, displaced 50,000 residents and destroyed 95% of local structures. It was the deadliest U.S. fire in 100 years — and the worst ever in California’s history. Rebuilding Paradise is a story of resilience in the face of tragedy, as a community ravaged by disaster comes together to recover what was lost and begin the important task of rebuilding.",PG-13,70
191,Martin Margiela: In His Own Words,"Aug 14, 2020","One of the most revolutionary and influential fashion designers of his time, Martin Margiela has remained an elusive figure the entirety of his decades-long career. From Jean Paul Gaultier’s assistant to creative director at Hermès to leading his own House, Margiela never showed his face publicly and avoided interviews, but reinvented fashion with his radical style through forty-one provocative collections. Now, for the first time, the “Banksy of fashion” reveals his drawings, notes, and personal items in this exclusive, intimate profile of his vision.",Not Rated,70
192,Benjamin,"Aug 25, 2020","Gangly and neurotic, and always ready with a self-defensive quip, indie film director Benjamin (Colin Morgan) nervously prepares for the premiere of his sophomore feature when he meets and falls for hard for Noah (Phénix Brossard), an young French musician. Will Benjamin’s insecurities and anxieties get in the way of success and happiness? Will his film be a critics-savaging disaster and he, a one-hit wonder?",R,70
193,Alone,"Sep 18, 2020","Jessica (Jules Willcox), a grief-stricken widow, flees the city in an attempt to cope with the loss of her husband.  When Jessica is kidnapped by a mysterious man and locked in a cabin in the Pacific Northwest, she escapes into the wilderness and is pursued by her captor. ",R,70
194,The Boys in the Band,"Sep 30, 2020","A group of gay men gather for a birthday party in 1968 New York City, only to find the drinks and laughs interrupted when a visitor from the host's past turns the evening upside down.",R,70
195,The Old Guard,"Jul 10, 2020","Led by a warrior named Andy (Charlize Theron), a covert group of tight-knit mercenaries with a mysterious inability to die have fought to protect the mortal world for centuries. But when the team is recruited to take on an emergency mission and their extraordinary abilities are suddenly exposed, it’s up to Andy and Nile (Kiki Layne), the newest soldier to join their ranks, to help the group eliminate the threat of those who seek to replicate and monetize their power by any means necessary. ",R,70
196,Color Out of Space,"Jan 24, 2020","After a meteorite lands in the front yard of their farm, Nathan Gardner (Nicolas Cage) and his family find themselves battling a mutant extraterrestrial organism as it infects their minds and bodies, transforming their quiet rural life into a technicolor nightmare.",Unrated,70
197,Yellow Rose,"Oct 9, 2020",a Filipina teen from a small Texas town fights to pursue her dreams as a country music performer while having to decide between staying with her family or leaving the only home she has known.,PG-13,70
198,"Standing Up, Falling Down","Feb 21, 2020","After four years of chasing his stand-up comedy dream in Los Angeles, 34-year-old Scott Rollins (Ben Schwartz) has crashed and burned. Hard. Left with little money and a fledgling at best “career”, Scott has no choice but to regroup, lick his wounds, and return home to his parent’s house in Long Island. While trying to figure out what to do next, Scott pines after his ex, Becky Brookes (Eloise Mumford), a successful photographer who has since married a former mutual friend. On a night out at the bar, Scott strikes up an unlikely friendship with an eccentric dermatologist, Marty (Billy Crystal), who has regrets of his own. Marty and Scott both help each other find the courage to face the failures in their lives.",Not Rated,70
199,Epicentro,"Aug 28, 2020","Epicentro is an immersive and metaphorical portrait of post-colonial, ""utopian"" Cuba, where the 1898 explosion of the USS Maine still resonates. This Big Bang ended Spanish colonial dominance in the Americas and ushered in the era of the American Empire. At the same time and place, a powerful tool of conquest was born: cinema as propaganda. In his latest film, Oscar-nominated director Hubert Sauper (Darwin's Nightmare) explores a century of interventionism and myth-making together with the extraordinary people of Havana—who he calls ""young prophets""—to interrogate time, imperialism and cinema itself. [Kino Lorber]",Not Rated,70
200,I Will Make You Mine,"May 26, 2020","Rachel (Lynn Chen) lives in idle luxury with a cheating husband, Professor Erika (Ayako Fujitani) juggles career demands while raising her daughter Sachiko (Ayami Riley Tomine), and struggling musician Yea-Ming (Yea-Ming Chen) is still chasing a fast-fading dream. Three women who could not be more different have one thing in common: their flawed romantic history with singer-songwriter Goh Nakamura (himself). When the amiable but unreliable Goh ambles back into town and into their lives, the past comes roaring back.",Not Rated,70
201,Why Don't You Just Die!,"Apr 20, 2020","Matvey has just one objective: to gain entry to his girlfriend's parents' apartment and kill her father Andrey with a hammer to restore her honour. But all is not as it initially seems, and Matvey's attempts to bludgeon the family patriarch to death don't quite go to plan as Andrey proves a more formidable - not to mention ruthless - opponent than he anticipated... and Matvey, for his part, proves stubbornly unwilling to die.
",Not Rated,69
202,The Donut King,"Oct 30, 2020","Ted Ngoy's story is one of fate, love, survival, hard knocks, and redemption. It’s the rags to riches story of a refugee escaping Cambodia, arriving in America in 1975 and building an unlikely multi-million-dollar empire baking America’s favorite pastry, the donut. Ted sponsored hundreds of visas for incoming refugees and helped them get on their feet teaching them the ways of the donut business. By 1979 he was living the American Dream. But, in life, great rise can come with great falls.

 ",Not Rated,69
203,Monsoon,"Nov 13, 2020","Kit (Henry Golding) returns to Ho Chi Minh City for the first time since he was six years old when his family fled the country in the aftermath of the Vietnam-American war. There he meets Lee, his estranged second cousin, Linh, a young Vietnamese student, and arranges an online date that turns into something more with Lewis (Parker Sawyers), an American clothing designer. Struggling to make sense of himself in a city he’s no longer familiar with, he embarks on a personal journey across the country that opens up the possibility for friendship, love and happiness.",Not Rated,69
204,How to Build a Girl,"May 8, 2020","Johana Morrigan (Beanie Feldstein) is a bright, quirky, 16-year-old who uses her colorful imagination to regularly escape her humdrum life in Wolverhampton and live out her creative fantasies. Desperate to break free from the overcrowded flat she shares with her four brothers and eccentric parents, she submits an earnestly penned and off-beat music review to a group of self-important indie rock critics at a weekly magazine. Despite being brushed off initially, Johana clamors to the top of the 90s rock music scene by reinventing herself as Dolly Wilde – a venerable, impossible-to-please music critic with an insatiable lust for fame, fortune, and men. It isn’t long before the rapid pace at which Johana’s life is changing becomes overwhelming and she runs face-first into a devastatingly real, existential crisis: Is this the type of girl she wants to become? Or does she need to start over and build again from the ground up? [IFC Films]",R,69
205,My Psychedelic Love Story,"Nov 29, 2020","Errol Morris’ latest documentary takes us on an Alice in Wonderland adventure deep inside a largely forgotten episode of the early ’70s. Told through the lens of  Swiss-born, Paris-raised free spirit Joanna Harcourt-Smith, Timothy Leary’s lover, the film examines the twists and turns that led Leary, the High Priest of LSD, to seemingly sell out the millions he urged to “turn on, tune in and drop out” and become a narc in 1974. At the heart of the story is the woman Leary described as his “perfect love.” Was she a government pawn, a Mata Hari, or simply a beautiful, young, intelligent woman on the trip of a lifetime? Through a series of candid interviews, Morris and Harcourt-Smith reexamine this chaotic period, resulting in a singular snapshot of the early 1970s’ cultural landscape-and its profound impact on the trajectory of one woman’s life. (Showtime)",TV-14,69
206,I Am Greta,"Nov 13, 2020","The story of teenage climate activist Greta Thunberg is told through compelling, never-before-seen footage in this intimate documentary from Swedish director Nathan Grossman. Starting with her one-person school strike for climate action outside the Swedish Parliament, Grossman follows Greta—a shy student with Asperger’s—in her rise to prominence and her galvanizing global impact as she sparks school strikes around the world. The film culminates with her extraordinary wind-powered voyage across the Atlantic Ocean to speak at the UN Climate Action Summit in New York City. [Hulu]",TV-14,69
207,Kill It and Leave This Town,"Nov 25, 2020","Fleeing from despair after losing those dearest to him, the hero hides in a safe land of memories, where time stands still and all those dear to him are alive.",Unrated,69
208,The Mole Agent,"Sep 1, 2020","When a family grows concerned for their mother’s well-being in a retirement home, private investigator Romulo hires 83-year-old Sergio to pose as a new resident and undercover spy inside the facility. The Mole Agent follows Sergio as he struggles to balance his assignment with his increasing involvement in the lives of the many residents he meets. ",Not Rated,69
209,Jingle Jangle: A Christmas Journey,"Nov 13, 2020","Set in the gloriously vibrant town of Cobbleton, Jingle Jangle: A Christmas Journey follows legendary toymaker Jeronicus Jangle (Forest Whitaker) whose fanciful inventions burst with whimsy and wonder. But when his trusted apprentice (Keegan-Michael Key) steals his most prized creation, it’s up to his equally bright and inventive granddaughter (Madalen Mills) — and a long-forgotten invention — to heal old wounds and reawaken the magic within. ",PG,69
210,The Times of Bill Cunningham,"Feb 14, 2020","Told in Bill Cunningham’s own words from a recently unearthed six-hour 1994 interview, the iconic street photographer and fashion historian chronicles, in his customarily cheerful and plainspoken manner, moonlighting as a milliner in France during the Korean War, his unique relationship with First Lady Jackie Kennedy, his four decades at The New York Times and his democratic view of fashion and society. Narrated by Sarah Jessica Parker, The Times of Bill Cunningham features incredible photographs chosen from over 3 million previously unpublicized images and documents from Cunningham.

 ",Not Rated,69
211,Take Me Somewhere Nice,"May 21, 2020",A Dutch girl of Bosnian descent travels to Bosnia to visit her sick father. It will be the first time they will see each other.,Not Rated,69
212,Blue Story,"May 5, 2020","Best friends Timmy (Stephen Odubola) and Marco (Micheal Ward) go to the same high school in Peckham, but live in neighboring London boroughs. When Marco’s beaten up by one of Timmy’s primary school friends the two boys wind up on rival sides of a never-ending cycle of gang war in which there are no winners …only victims.",R,69
